index,ok,track_id,url,duration_str,duration,title,score,view_count,genre,num_mixes,genre_counts
1378,v,giwMVWR5ETA,https://youtu.be/giwMVWR5ETA,6:20,380,Azzido Da Bass - Dooms Night (Timo Maas Remix) 1080p,0.0003,"1,284,034",House,3,"[('House', 1.0), ('Progressive House', 0.5), ('Trance', 0.5)]"
1379,x,ry99_zwCW90,https://youtu.be/ry99_zwCW90,3:10,190,Don Diablo - The Rhythm | Official Music Video,0.0003,"1,272,389",Progressive House,3,"[('Progressive House', 1.25), ('House', 1.0), ('Deep House', 0.25), ('Bassline', 0.25), ('Electronica (Synthesizer)', 0.25)]"
1380,v,A3zVutltCT8,https://youtu.be/A3zVutltCT8,7:10,430,Sia - The Girl You Lost To Cocaine (Sander Van Doorn Remix),0.0003,"1,271,909",Progressive House,3,"[('Progressive House', 2.0), ('Trance', 0.5), ('Psytrance', 0.5)]"
1381,x,sacNLmxsILY,https://youtu.be/sacNLmxsILY,3:19,199,Sander van Doorn - Ori Tali Ma (Official Music Video),0.0003,"1,250,580",Progressive House,3,"[('Progressive House', 2.5), ('House', 0.5)]"
1382,v,bH-BdruPhuw,https://youtu.be/bH-BdruPhuw,8:26,506,Sable Sheep - Upon Burning Skies (MHD012),0.0003,"1,241,070",House,3,"[('Tech House', 1.5), ('House', 1.5)]"
1383,v,SWfRKCuzzwg,https://youtu.be/SWfRKCuzzwg,6:37,397,"Adam Beyer, Layton Giordani & Green Velvet - Space Date [Drumcode]",0.0003,"1,237,643",Techno,3,"[('Techno', 2.0), ('Tech House', 1.0)]"
1384,v,SWKCtxFwveU,https://youtu.be/SWKCtxFwveU,7:24,444,Oxia - Domino (Matador Remix) - Sapiens 002,0.0003,"1,226,471",Tech House,3,"[('Techno', 1.0), ('Tech House', 1.0), ('Trance', 0.67), ('Progressive House', 0.33)]"
1385,x,Btz1lteUtuM,https://youtu.be/Btz1lteUtuM,3:24,204,"Tom Swoon, Lush & Simon - Ahead Of Us (Lyric Video)",0.0003,"1,226,243",Progressive House,3,"[('Progressive House', 2.0), ('House', 1.0)]"
1386,v,DSYsBUOH29M,https://youtu.be/DSYsBUOH29M,6:03,363,Claude VonStroke - Barrump [OFFICIAL AUDIO],0.0003,"1,191,942",House,3,"[('House', 2.0), ('Tech House', 0.5), ('Deep House', 0.5)]"
1387,v,xLJXp8Tsxis,https://youtu.be/xLJXp8Tsxis,4:18,258,Daft Punk - Get Lucky (TC Bootleg),0.0003,"1,175,746",Drum & Bass,3,"[('Drum & Bass', 2.0), ('Dubstep', 1.0)]"
1388,v,5a_Zf5cjMnM,https://youtu.be/5a_Zf5cjMnM,5:38,338,Bassjackers & Dyro - Grid (Original Mix),0.0003,"1,173,400",Progressive House,3,"[('Progressive House', 2.5), ('House', 0.5)]"
1389,v,fUL1Swt5RCg,https://youtu.be/fUL1Swt5RCg,8:07,487,Yotto - Fire Walk,0.0003,"1,167,874",Trance,3,"[('Trance', 1.0), ('House', 0.67), ('Progressive Trance', 0.67), ('Progressive House', 0.33), ('Psytrance', 0.33)]"
1390,v,rNm4mCWzpbM,https://youtu.be/rNm4mCWzpbM,5:49,349,Chocolate Puma & Mike Cervello - You Are My Life (Extended Mix),0.0003,"1,166,291",Progressive House,3,"[('House', 1.17), ('Progressive House', 1.17), ('Tech House', 0.33), ('Bassline', 0.33)]"
1391,v,MzB9X8L4cgs,https://youtu.be/MzB9X8L4cgs,5:42,342,Justin Prime - Bring The Bass (Original Mix),0.0003,"1,162,324",Trance,3,"[('Trance', 1.0), ('House', 0.5), ('Progressive House', 0.5)]"
1392,x,pjUPoMXGdWw,https://youtu.be/pjUPoMXGdWw,4:10,250,TC - Do You Rock? (Official Video),0.0003,"1,153,086",Drum & Bass,3,"[('Drum & Bass', 2.5), ('Dubstep', 0.5)]"
1393,v,EpoXqIRS8Ts,https://youtu.be/EpoXqIRS8Ts,7:05,425,Linkwood - Love Lost,0.0003,"1,150,903",Deep House,3,"[('Techno', 1.0), ('Deep House', 1.0), ('Tech House', 0.5), ('Electro', 0.5)]"
1394,v,wKJVVkzo7fA,https://youtu.be/wKJVVkzo7fA,6:32,392,UVB - Mixtion,0.0003,"1,122,210",Techno,3,"[('Techno', 2.5), ('Tech House', 0.5)]"
1395,v,VsbOJeSemnM,https://youtu.be/VsbOJeSemnM,5:30,330,Futuristic Polar Bears - Back To Earth [OUT NOW!],0.0003,"1,118,782",Progressive House,3,"[('Progressive House', 2.5), ('Progressive Trance', 0.5)]"
1396,v,ZNO7-OYLI9U,https://youtu.be/ZNO7-OYLI9U,6:08,368,Alex Reece - Pulp Fiction (Original),0.0003,"1,118,715",Drum & Bass,3,"[('Drum & Bass', 3.0)]"
1397,v,4IOTqze7ZBM,https://youtu.be/4IOTqze7ZBM,6:55,415,Matador - Kingswing,0.0003,"1,113,801",Tech House,3,"[('Tech House', 1.5), ('House', 1.0), ('Minimal', 0.5)]"
1398,v,-8LwxN-j6QE,https://youtu.be/-8LwxN-j6QE,7:35,455,Bad Company - The Pulse,0.0003,"1,104,132",Drum & Bass,3,"[('Drum & Bass', 3.0)]"
1399,v,cZT9MCgsWbQ,https://youtu.be/cZT9MCgsWbQ,7:54,474,Butch - The Spirit feat. Hohberg (Adriatique's 7am Remix),0.0003,"1,092,832",Deep House,3,"[('Deep House', 1.5), ('Tech House', 1.0), ('House', 0.5)]"
1400,x,DVk4Myp4UKQ,https://youtu.be/DVk4Myp4UKQ,3:14,194,CamelPhat & Cristoph - Breathe (feat. Jem Cooke),0.0003,"1,070,673",Progressive House,3,"[('Progressive House', 1.5), ('Tech House', 0.5), ('House', 0.5), ('Trance', 0.5)]"
1401,,AYbD6JhSV28,https://youtu.be/AYbD6JhSV28,7:36,456,Sam Paganini - Egotism (Original Mix),0.0003,"1,056,930",Techno,3,"[('Techno', 3.0)]"
1402,,E2lGIsrhlGA,https://youtu.be/E2lGIsrhlGA,6:54,414,Daft Punk - Burnin' (Official Audio),0.0003,"1,051,837",Progressive House,3,"[('House', 1.5), ('Progressive House', 1.5)]"
1403,,fHYQuljq53o,https://youtu.be/fHYQuljq53o,6:42,402,Caribou - Your Love Will Set You Free (c2's Set U Free Remix),0.0003,"1,050,021",House,3,"[('Tech House', 1.5), ('House', 1.5)]"
1404,,m7QmSSLmgLE,https://youtu.be/m7QmSSLmgLE,6:36,396,Sam Paganini – Hypnotize (Feat. Zoe) (Original Mix),0.0003,"1,049,439",Techno,3,"[('Techno', 2.5), ('Tech House', 0.5)]"
1405,,JcUQJRl0GdI,https://youtu.be/JcUQJRl0GdI,5:45,345,Knife Party 'D.I.M.H',0.0003,"1,036,926",Progressive House,3,"[('Progressive House', 2.0), ('Trance', 0.5), ('Progressive Trance', 0.5)]"
1406,,omJuxrA5NhM,https://youtu.be/omJuxrA5NhM,7:57,477,LTJ Bukem Horizons (Vinyl),0.0003,"1,033,462",Drum & Bass,3,"[('Drum & Bass', 3.0)]"
1407,,JHfgcU7BTDw,https://youtu.be/JHfgcU7BTDw,5:05,305,Mike Hawkins - Soldiers (Original Mix),0.0003,"1,032,484",Progressive House,3,"[('Progressive House', 3.0)]"
1408,,uZbnE3Ad4r8,https://youtu.be/uZbnE3Ad4r8,5:20,320,Armin van Buuren & Cosmic Gate - Embargo,0.0003,"1,002,448",Trance,3,"[('Trance', 1.0), ('Progressive House', 0.83), ('Progressive Trance', 0.83), ('House', 0.33)]"
1409,,-iUUAeYaFqY,https://youtu.be/-iUUAeYaFqY,3:28,208,Dada Life - Kick Out The Epic Motherfucker (Vocal Radio Edit),0.0003,"1,002,427",Progressive House,3,"[('Progressive House', 3.0)]"
1410,,HHlm06FYEQQ,https://youtu.be/HHlm06FYEQQ,6:15,375,Amelie Lens - Contradiction,0.0003,"999,092",Techno,3,"[('Techno', 2.5), ('Acid Techno', 0.5)]"
1411,,hwlcm6Dhp-c,https://youtu.be/hwlcm6Dhp-c,6:35,395,Darius Syrossian & Hector Couto - House Is House (Original Mix),0.0003,"989,135",House,3,"[('House', 2.0), ('Tech House', 1.0)]"
1412,,QqDbK7aMmk8,https://youtu.be/QqDbK7aMmk8,4:37,277,Kideko & George Kwali - Crank It,0.0003,"961,893",House,3,"[('House', 2.5), ('Tech House', 0.5)]"
1413,,reloz1ics-A,https://youtu.be/reloz1ics-A,5:54,354,Mark Sixma - Requiem (Original Mix),0.0003,"954,278",Progressive Trance,3,"[('Progressive Trance', 1.5), ('Progressive House', 1.0), ('Trance', 0.5)]"
1414,,sv6P8Xg2ZBE,https://youtu.be/sv6P8Xg2ZBE,3:14,194,"Tom Swoon, Teamworx - Atom (Official Music Video)",0.0003,"952,437",Progressive House,3,"[('Progressive House', 3.0)]"
1415,,RlSJ-SPC4YE,https://youtu.be/RlSJ-SPC4YE,6:48,408,Hot Since 82 - Forty Shorty,0.0003,"928,751",House,3,"[('House', 2.0), ('Tech House', 1.0)]"
1416,,lviGHPX1FFU,https://youtu.be/lviGHPX1FFU,4:33,273,Denney - Low Frequency,0.0002,"925,379",House,3,"[('House', 1.5), ('Tech House', 0.5), ('Progressive House', 0.5), ('Progressive Trance', 0.5)]"
1417,,_N0W3DuC4Rw,https://youtu.be/_N0W3DuC4Rw,6:15,375,Daniel Steinberg 'Let Me Down' (Tube & Berger Remix),0.0002,"913,907",House,3,"[('House', 1.67), ('Progressive House', 0.67), ('Tech House', 0.33), ('Progressive Trance', 0.33)]"
1418,,1FaRqsawrWQ,https://youtu.be/1FaRqsawrWQ,4:00,240,Mat Zo - Lucid Dreams (Original Mix),0.0002,"910,291",Progressive House,3,"[('Progressive House', 1.0), ('House', 0.5), ('Trance', 0.5), ('Progressive Trance', 0.5), ('Hip Hop', 0.5)]"
1419,,TjhfX38exyU,https://youtu.be/TjhfX38exyU,4:28,268,Hardwell - Everybody Is In The Place (OUT NOW!),0.0002,"904,371",Progressive House,3,"[('Progressive House', 3.0)]"
1420,,uJRwvPe9BQQ,https://youtu.be/uJRwvPe9BQQ,6:37,397,"Floorplan - Baby, Baby",0.0002,"884,853",Techno,3,"[('Techno', 2.5), ('Detroit Techno', 0.5)]"
1421,,w7YFg6gDKbc,https://youtu.be/w7YFg6gDKbc,7:15,435,Solardo - Tribesmen,0.0002,"884,662",House,3,"[('House', 2.5), ('Tech House', 0.5)]"
1422,,T7hcAL4Cktc,https://youtu.be/T7hcAL4Cktc,7:45,465,Stephan Bodzin - Zulu (Official),0.0002,"883,206",House,3,"[('House', 2.0), ('Deep House', 1.0)]"
1423,,Gqfnn3D3TPg,https://youtu.be/Gqfnn3D3TPg,5:34,334,Firebeatz - Here We F*cking Go [OUT NOW],0.0002,"878,830",Progressive House,3,"[('Progressive House', 2.0), ('Trance', 0.5)]"
1424,,-G2aOgvLv-c,https://youtu.be/-G2aOgvLv-c,7:55,475,"Storm Queen - ""It Goes On (Vox)"" - Environ ENV036",0.0002,"874,726",House,3,"[('House', 2.0)]"
1425,,v5rwo78SBC4,https://youtu.be/v5rwo78SBC4,9:14,554,Above & Beyond feat. Zoë Johnston - No One On Earth (Gabriel & Dresden Remix),0.0002,"866,868",Trance,3,"[('Trance', 3.0)]"
1426,,Ep3Fm99SWYk,https://youtu.be/Ep3Fm99SWYk,4:19,259,Mightyfools - Put Em Up (Original Mix),0.0002,"863,712",Progressive House,3,"[('Progressive House', 2.0), ('House', 0.5), ('Progressive Trance', 0.5)]"
1427,,IrvRK9UW_Vk,https://youtu.be/IrvRK9UW_Vk,9:20,560,Kölsch feat. Troels Abrahamsen - All That Matters (Original),0.0002,"862,596",Progressive House,3,"[('House', 0.83), ('Progressive House', 0.83), ('Tech House', 0.5), ('Minimal', 0.5), ('Progressive Trance', 0.33)]"
1428,,VubniUWuONc,https://youtu.be/VubniUWuONc,6:55,415,Oliver $ - Doin Ya Thang,0.0002,"861,706",House,3,"[('House', 2.0), ('Tech House', 0.5), ('Disco', 0.5)]"
