index,ok,track_id,url,duration_str,duration,title,score,view_count,genre,num_mixes,genre_counts,beatport_genre,bpm,key,track_name,artist,length,beatport_url
16.0,v,xoWVjBqlPJk,https://youtu.be/xoWVjBqlPJk,6:09,369,Deniz Koyu - Ruby (Original),0.1499,"583,282",Progressive House,10,"[('Progressive House', 7.0), ('Progressive Trance', 1.5), ('Trance', 1.0), ('House', 0.5)]",Mainstage,128,G Minor,Ruby,Deniz Koyu,6:08,https://www.beatport.com/track/Ruby/5049657
17.0,v,mpHGwyf2qpA,https://youtu.be/mpHGwyf2qpA,6:49,409,Enrico Sangiuliano - Ghettoblaster [Drumcode],0.1499,"534,218",Techno,10,"[('Techno', 6.5), ('Tech House', 3.0), ('Trance', 0.5)]",Techno (Peak Time / Driving),125,D Minor,Ghettoblaster,Enrico Sangiuliano,6:48,https://www.beatport.com/track/Ghettoblaster/8244938
18.0,v,4fzMzAejqSs,https://youtu.be/4fzMzAejqSs,7:46,466,PLASTIC BOY - Silver Bath,0.1498,"252,687",Trance,10,"[('Trance', 8.0)]",Trance (Main Floor),138,Eb Minor,Silver Bath,Plastic Boy,7:45,https://www.beatport.com/track/Silver%20Bath/9003244
19.0,v,5WvMql1Ejzs,https://youtu.be/5WvMql1Ejzs,8:45,525,Secret Cinema & Egbert -  Maximaal - Drumcode - DC159,0.1498,"246,821",Tech House,10,"[('Tech House', 4.0), ('Techno', 3.25), ('Trance', 1.33), ('Progressive House', 1.17), ('Progressive Trance', 0.25)]",Techno (Peak Time / Driving),128,G Major,Maximaal,Secret Cinema,8:45,https://www.beatport.com/track/Maximaal/8176357
20.0,v,knZ9EBa7Bj0,https://youtu.be/knZ9EBa7Bj0,7:01,421,Clouds - Complete Control (Slam Remix),0.1498,"183,331",Techno,10,"[('Techno', 8.5), ('Tech House', 0.5), ('Minimal', 0.5), ('Industrial', 0.5)]",Techno (Peak Time / Driving),127,A Minor,Complete Control,Slam,7:10,https://www.beatport.com/track/Complete%20Control/6883475
21.0,v,OWvkis2BwG8,https://youtu.be/OWvkis2BwG8,9:10,550,Doc Scott - Drumz '95 (Nasty Habits remix),0.1498,"55,793",Drum & Bass,10,"[('Drum & Bass', 9.0), ('Dubstep', 0.33), ('Electro', 0.33), ('Jungle', 0.33)]",Drum & Bass,165,A Minor,Drumz '95,Doc Scott,8:58,https://www.beatport.com/track/Drumz%20'95/12453997
22.0,v,fYvKekvn6Lw,https://youtu.be/fYvKekvn6Lw,7:09,429,Mark Reeve - New Path - Truesoul - TRUE1294,0.1498,"50,281",Tech House,10,"[('Techno', 4.67), ('Tech House', 4.67), ('Trance', 0.67)]",Techno (Peak Time / Driving),126,Db Minor,New Path,Mark Reeve,7:09,https://www.beatport.com/track/New%20Path/8972289
23.0,v,tVfsb_c3gzQ,https://youtu.be/tVfsb_c3gzQ,7:32,452,Slam - Functional,0.1498,"47,165",Techno,10,"[('Techno', 6.17), ('Tech House', 3.17), ('House', 0.67)]",Techno (Peak Time / Driving),126,Gb Major,Functional,Slam,7:32,https://www.beatport.com/track/Functional/7811447
24.0,v,6hxfeHQeHJM,https://youtu.be/6hxfeHQeHJM,5:03,303,Stoneface & Terminal - Keep Going [Extended] OUT NOW,0.1498,"10,489",Trance,10,"[('Trance', 4.58), ('House', 2.0), ('Progressive Trance', 1.92), ('Progressive House', 0.92), ('Psytrance', 0.33), ('Tech House', 0.25)]",Trance (Main Floor),130,F Minor,Keep Going,Stoneface & Terminal,6:01,https://www.beatport.com/track/Keep%20Going/13719855
26.0,v,-DWkf03g4Gc,https://youtu.be/-DWkf03g4Gc,7:31,451,GusGus - Crossfade (Maceo Plex Mix),0.1321,"2,992,974",House,9,"[('House', 4.75), ('Tech House', 1.75), ('Progressive House', 1.5), ('Deep House', 0.5), ('Disco', 0.25), ('House (Old School)', 0.25)]",Tech House,124,C Major,Crossfade,Maceo Plex,7:33,https://www.beatport.com/track/Crossfade/5293855
27.0,v,ViOF32yjtzE,https://youtu.be/ViOF32yjtzE,6:46,406,Sam Paganini - Rave (Original Mix),0.132,"2,674,581",Tech House,9,"[('Tech House', 4.33), ('Techno', 3.83), ('Minimal', 0.5), ('Progressive House', 0.33)]",Techno (Peak Time / Driving),125,Bb Major,Rave,Sam Paganini,6:45,https://www.beatport.com/track/Rave/5799420
28.0,v,0rlRnwgQric,https://youtu.be/0rlRnwgQric,6:45,405,Slam - Make You Move,0.1315,"724,745",Tech House,9,"[('Techno', 4.0), ('Tech House', 4.0), ('House', 1.0)]",Techno (Peak Time / Driving),127,B Minor,Make You Move,Slam,6:44,https://www.beatport.com/track/Make%20You%20Move/7333506
29.0,v,P_FU6Ue_-nc,https://youtu.be/P_FU6Ue_-nc,6:38,398,Simon Patterson & Magnus - Evoke (Extended Mix),0.1314,"551,320",Trance,9,"[('Trance', 4.67), ('Tech House', 1.17), ('House', 1.0), ('Progressive Trance', 0.83), ('Psytrance', 0.67), ('Techno', 0.33), ('Progressive House', 0.33)]",Trance (Main Floor),140,F Minor,Evoke,Magnus,6:38,https://www.beatport.com/track/Evoke/7811067
30.0,v,s0y9RbQYP3s,https://youtu.be/s0y9RbQYP3s,7:11,431,Bad Company - Planet Dust,0.1314,"549,586",Drum & Bass,9,"[('Drum & Bass', 9.0)]",Drum & Bass,152,D Minor,Planet Dust,Bad Company,7:10,https://www.beatport.com/track/Planet%20Dust/6036531
31.0,v,4T8knUdniJI,https://youtu.be/4T8knUdniJI,8:49,529,Josh Wink - Talking To You (Original Mix),0.1313,"262,131",Tech House,9,"[('Tech House', 4.0), ('House', 3.5), ('Techno', 1.5)]",Tech House,124,C Major,Talking To You,Josh Wink,8:49,https://www.beatport.com/track/Talking%20To%20You/6257585
32.0,v,HcHV3efWSZ0,https://youtu.be/HcHV3efWSZ0,8:50,530,Cirez D - Backlash (Original Mix) [Mouseville],0.1313,"228,834",Tech House,9,"[('Tech House', 2.92), ('Techno', 2.08), ('Trance', 1.58), ('House', 1.17), ('Psytrance', 0.67), ('Progressive House', 0.58)]",Techno (Peak Time / Driving),126,E Minor,BACKLASH,CIREZ D,8:49,https://www.beatport.com/track/BACKLASH/8446498
33.0,v,1EGt9yXXfbg,https://youtu.be/1EGt9yXXfbg,6:42,402,Ed Rush & Optical - Medicine (Matrix Remix) (1998),0.1313,"114,462",Drum & Bass,9,"[('Drum & Bass', 9.0)]",[-] error : statue code 403,[-] error : statue code 403,[-] error : statue code 403,[-] error : statue code 403,[-] error : statue code 403,[-] error : statue code 403,[-] error : statue code 403
34.0,v,tnGwYrydmLk,https://youtu.be/tnGwYrydmLk,6:55,415,Jel Ford - Overcast (Original Mix) [DRUMCODE],0.1313,"85,534",Tech House,9,"[('Tech House', 4.83), ('Techno', 2.33), ('House', 1.33), ('Progressive House', 0.5)]",Techno (Peak Time / Driving),126,A Major,Overcast,Jel Ford,6:57,https://www.beatport.com/track/Overcast/6901638
35.0,v,mELm6yLZw-E,https://youtu.be/mELm6yLZw-E,5:54,354,Pig&Dan - Growler (Original Mix),0.1313,"75,000",Tech House,9,"[('Tech House', 5.0), ('House', 2.0), ('Progressive House', 1.5), ('Deep House', 0.5)]",Techno (Peak Time / Driving),125,E Minor,Growler,Pig&Dan,7:18,https://www.beatport.com/track/Growler/7547111
